matter_category,practice_area,ip_matter_flag,ip_matter_type,ip_tech_domain,draft_complexity_tier,expected_claim_count,has_drawings,expected_oa_count,examiner_difficulty_score,rce_risk_flag,experts_required,num_depositions_expected,early_settlement_probability,fto_patent_count,fto_scope_complexity,gen_complexity,gen_duration_days,phase_pleadings,phase_markman,phase_discovery,phase_summary_judgment,phase_trial,complexity_score,duration_days,client_type,client_industry,client_size_revenue,competitive_position,competitor_avg_quote,complexity_urgency,team_effort,team_size,years_as_client,previous_matters,client_satisfaction,total_hours,estimated_cost,fee_structure,is_subscription_model,is_phase_based_model,has_success_fee_component,target_fee,realized_margin_pct,win_probability,won_matter_flag
IP,IP - Patent Drafting,1,Patent Drafting,MedTech,Simple,22,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.55,30,Existing - Non-Strategic,Life Sciences,16.77,1.4,11523,3,2,6,2,27,4,53.7,15329,Hourly,0,0,0,29337,83,0.06,0
IP,IP - PTAB,1,PTAB,Semiconductors,,0,0,0,0,0,3,10,0,0,,0,0,0,0,0,0,0,10,540,Existing - Strategic,Finance,26.08,-0.66,35796,3,2,6,0,9,2,329.3,67786,Fixed Fee – Petition Only,0,0,0,125934,82.1,0.01,0
IP,IP - Litigation,1,Litigation,Pharma,,0,0,0,0,0,0,0,0.68,0,,0,0,1,1,1,1,1,10,730,New,Tech,28.19,-0.36,37443,8,1,9,8,40,4,628,124798,Blended Rate,0,0,0,209807,71.9,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,5,626,0,0,0,0,0,5,626,Existing - Strategic,Manufacturing,4.73,0.98,26377,9,6,3,7,18,3,173.6,43336,Subscription,1,0,0,93905,119.4,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Semiconductors,Simple,5,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.125,30,New,Other,49.9,0.6,11985,9,5,9,7,49,8,23.8,5978,Fixed Fee per Application,0,0,0,13381,121.7,0.504,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,708,0,0,0,0,0,3,708,Existing - Non-Strategic,Other,10.99,-0.12,22839,3,7,9,2,30,3,158.4,24458,Hourly,0,0,0,38444,50.9,0.068,0
IP,IP - Litigation,1,Litigation,Semiconductors,,0,0,0,0,0,0,0,0.05,0,,0,0,1,1,0,0,0,10,730,Existing - Non-Strategic,Tech,101.11,1.78,41030,4,10,1,2,13,8,586.7,138142,Phase-Based Caps,0,1,0,240074,75.3,0.149,0
IP,IP - Patent Drafting,1,Patent Drafting,Biotech,Medium,18,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.45,45,New,Energy,10.11,-1.03,22430,4,4,7,7,43,7,63.7,18812,Fixed Fee per Application,0,0,0,30517,55.9,0.242,0
IP,IP - Litigation,1,Litigation,Semiconductors,,0,0,0,0,0,0,0,0.68,0,,0,0,0,1,0,1,0,8,730,Existing - Strategic,Finance,41.43,0.42,32693,6,10,1,8,26,6,165.1,35005,Blended Rate,0,0,0,72385,105.9,0.067,0
IP,IP - Prosecution,1,Prosecution,AI,,0,0,2,4,0,0,0,0,0,,0,0,0,0,0,0,0,8,365,Existing - Non-Strategic,Manufacturing,46.97,-1.57,29160,2,1,3,4,17,8,49.4,8722,Portfolio Subscription,1,0,0,12938,46.4,0.823,0
IP,IP - FTO,1,FTO,Other,,0,0,0,0,0,0,0,0,29,Moderate,0,0,0,0,0,0,0,7.29,30,New,Other,46.8,-0.21,22255,9,10,2,4,17,3,23.2,3728,Risk-Based (Emerging),0,0,1,7715,112.1,0.826,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,368,0,0,0,0,0,7,368,New,Energy,76.63,1.17,27808,8,10,11,8,32,6,108.4,24327,Subscription,1,0,0,47844,96.6,0.182,0
IP,IP - PTAB,1,PTAB,Biotech,,0,0,0,0,0,0,8,0,0,,0,0,0,0,0,0,0,9.6,540,Existing - Strategic,Manufacturing,11.72,1.04,33589,7,6,11,7,19,6,321.6,74824,Phase-Based,0,1,0,162351,115.7,0.072,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,95,0,0,0,0,0,8,95,New,Tech,31.2,-1.81,20646,8,5,9,4,38,9,89.1,19436,Success-Based,0,0,1,32011,60.6,0.15,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,482,0,0,0,0,0,4,482,New,Life Sciences,22.52,-1.58,21655,9,6,4,0,2,10,108.3,22768,Fixed Fee,0,0,0,45429,93.2,0.057,0
IP,IP - Patent Drafting,1,Patent Drafting,MedTech,Complex,20,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,9.5,60,New,Life Sciences,16.86,-1.21,25896,2,2,5,7,50,7,45.4,10455,Subscription (X applications/year),1,0,0,21003,104.6,0.618,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,120,0,0,0,0,0,6,120,Existing - Strategic,Energy,61.63,1.45,18870,1,5,4,5,36,8,106,19326,Phase-Based,0,1,0,42547,130.2,0.155,0
IP,IP - FTO,1,FTO,Biotech,,0,0,0,0,0,0,0,0,10,Broad,0,0,0,0,0,0,0,9.1,30,Existing - Strategic,Life Sciences,10.17,-0.64,21842,5,1,9,10,13,5,73.4,14489,Ongoing Subscription,1,0,0,20560,40.7,0.512,0
IP,IP - Litigation,1,Litigation,AI,,0,0,0,0,0,0,0,0.24,0,,0,0,1,1,1,0,0,10,730,Existing - Non-Strategic,Other,26.27,-1.45,35576,7,8,2,4,1,9,510.9,113580,Collar (Risk-Sharing),0,0,1,174046,53.7,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Other,Medium,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.3,45,Existing - Non-Strategic,Life Sciences,55.22,-0.79,17535,8,2,2,4,27,3,55,14382,Tiered (Simple/Medium/Complex),0,0,0,23762,68.8,0.177,0
IP,IP - Prosecution,1,Prosecution,AI,,0,0,3,8,0,0,0,0,0,,0,0,0,0,0,0,0,10,365,New,Energy,26.34,-1.31,33199,4,9,11,6,35,8,50.2,12977,Volume-based Discount Model,0,0,0,19952,53.9,0.762,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,78,0,0,0,0,0,8,78,New,Tech,251.71,1.72,18124,9,6,4,8,22,2,108.5,23473,Fixed Fee,0,0,0,48030,106.5,0.033,0
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Medium,26,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.65,45,Existing - Strategic,Finance,28.39,1.73,17511,6,4,4,0,40,4,43.5,10196,Subscription (X applications/year),1,0,0,19450,86.3,0.484,0
IP,IP - Prosecution,1,Prosecution,Biotech,,0,0,1,3,0,0,0,0,0,,0,0,0,0,0,0,0,6.5,365,Existing - Non-Strategic,Energy,93.07,1.61,26767,7,5,10,6,11,3,36.7,10064,Hourly,0,0,0,21232,105.3,0.691,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,565,0,0,0,0,0,7,565,Existing - Strategic,Energy,45.3,-0.92,30689,5,4,3,6,25,6,115.2,24482,Subscription,1,0,0,43185,70.9,0.202,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,311,0,0,0,0,0,4,311,Existing - Non-Strategic,Energy,80.76,-1.14,20020,7,8,4,9,3,8,97.2,26012,Success-Based,0,0,1,53784,98.2,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Medium,9,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.225,45,New,Other,14.27,-1.26,21176,3,8,8,6,5,1,40.8,10103,Tiered (Simple/Medium/Complex),0,0,0,19890,97.5,0.402,0
IP,IP - FTO,1,FTO,Pharma,,0,0,0,0,0,0,0,0,23,Narrow,0,0,0,0,0,0,0,5.23,30,New,Finance,17.68,-1.9,15285,1,6,5,7,6,6,59.4,9669,Tiered FTO Pricing,0,0,0,16317,66.9,0.375,0
IP,IP - Litigation,1,Litigation,Semiconductors,,0,0,0,0,0,0,0,0.61,0,,0,0,1,1,1,1,1,10,730,New,Tech,35.17,0.66,40228,2,8,6,8,47,7,546.6,151028,Success Bonus Structure,0,0,1,249645,56.5,0.073,0
IP,IP - FTO,1,FTO,AI,,0,0,0,0,0,0,0,0,18,Moderate,0,0,0,0,0,0,0,7.18,30,Existing - Strategic,Life Sciences,72.91,0.92,22499,5,7,10,5,42,8,97.1,25586,Fixed Fee per FTO,0,0,0,53718,109.7,0.121,0
IP,IP - FTO,1,FTO,AI,,0,0,0,0,0,0,0,0,22,Narrow,0,0,0,0,0,0,0,5.22,30,New,Energy,43.52,-0.75,18753,10,9,9,7,32,6,27.8,8180,Tiered FTO Pricing,0,0,0,11685,26.1,0.738,1
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Medium,31,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.775,45,Existing - Strategic,Other,455.64,0.58,17764,9,2,5,10,28,1,59.7,14628,Fixed Fee per Application,0,0,0,24636,68.8,0.188,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,107,0,0,0,0,0,6,107,New,Energy,89.76,1.02,24364,2,8,5,7,10,1,85.6,24503,Hourly,0,0,0,45133,86.8,0.043,0
IP,IP - Litigation,1,Litigation,Pharma,,0,0,0,0,0,0,0,0.28,0,,0,0,0,0,1,1,0,10,730,Existing - Strategic,Life Sciences,55.86,-0.36,38304,1,3,11,7,34,8,429.9,111789,Collar (Risk-Sharing),0,0,1,168151,48.5,0.042,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,671,0,0,0,0,0,6,671,New,Other,38.12,1.11,34548,8,10,6,9,47,1,110.1,30731,Success-Based,0,0,1,59121,89.6,0.081,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,5,332,0,0,0,0,0,5,332,Existing - Strategic,Tech,143.63,-0.47,20658,8,3,1,4,38,8,153.8,24519,Hourly,0,0,0,51942,113.1,0.047,0
IP,IP - PTAB,1,PTAB,AI,,0,0,0,0,0,2,3,0,0,,0,0,0,0,0,0,0,10,540,Existing - Non-Strategic,Energy,25.35,-0.08,36629,8,1,6,10,21,10,470.2,78301,Fixed Fee – Petition Only,0,0,0,162289,111.5,0.096,0
IP,IP - PTAB,1,PTAB,AI,,0,0,0,0,0,3,9,0,0,,0,0,0,0,0,0,0,10,540,Existing - Strategic,Energy,38.66,-0.33,35469,7,2,11,7,17,1,324.1,89623,Fixed Fee – Petition Only,0,0,0,134224,54.1,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,614,0,0,0,0,0,4,614,New,Life Sciences,25.6,-0.01,22312,8,3,11,1,35,2,41.1,10527,Phase-Based,0,1,0,15727,44.7,0.647,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,118,0,0,0,0,0,3,118,Existing - Non-Strategic,Other,26.43,0.06,13113,9,9,2,6,34,3,98.1,20980,Hourly,0,0,0,45545,117.8,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,497,0,0,0,0,0,8,497,Existing - Strategic,Other,17.88,-1.19,26816,5,3,2,10,8,6,44.7,9647,Fixed Fee,0,0,0,14506,49.9,0.759,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,6,617,0,0,0,0,0,6,617,New,Other,63.44,-0.89,32102,8,5,2,5,35,1,97.6,17497,Success-Based,0,0,1,36504,109.5,0.274,1
IP,IP - Prosecution,1,Prosecution,Other,,0,0,3,9,0,0,0,0,0,,0,0,0,0,0,0,0,10,365,Existing - Strategic,Energy,13.22,1.22,35513,10,1,3,4,13,9,74.1,19214,OA + Attorney Consult (Fixed),0,0,0,40502,117.6,0.537,0
IP,IP - PTAB,1,PTAB,Other,,0,0,0,0,0,2,3,0,0,,0,0,0,0,0,0,0,10,540,Existing - Non-Strategic,Manufacturing,24.16,0.24,34308,7,10,11,2,11,5,332.7,53439,Blended Rate,0,0,0,101933,91.6,0.015,0
IP,IP - Prosecution,1,Prosecution,Other,,0,0,0,8,0,0,0,0,0,,0,0,0,0,0,0,0,8,365,Existing - Non-Strategic,Energy,22.17,-0.52,28665,10,9,6,10,42,9,86.7,18814,Fixed Fee per OA,0,0,0,29717,53.5,0.527,1
IP,IP - Prosecution,1,Prosecution,Semiconductors,,0,0,2,6,0,0,0,0,0,,0,0,0,0,0,0,0,9,365,New,Tech,14.07,0.4,31413,10,5,10,0,20,7,19.1,2962,Portfolio Subscription,1,0,0,4554,54,0.989,1
IP,IP - FTO,1,FTO,Pharma,,0,0,0,0,0,0,0,0,29,Narrow,0,0,0,0,0,0,0,5.29,30,New,Life Sciences,81.45,-1.18,15562,9,6,5,8,47,8,63.5,16049,Ongoing Subscription,1,0,0,32119,98.6,0.04,0
IP,IP - Patent Drafting,1,Patent Drafting,Other,Simple,8,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.2,30,Existing - Non-Strategic,Energy,4.18,0.92,15683,8,9,5,4,21,1,61.8,13436,Subscription (X applications/year),1,0,0,25288,90.2,0.103,0
IP,IP - FTO,1,FTO,Biotech,,0,0,0,0,0,0,0,0,15,Narrow,0,0,0,0,0,0,0,5.15,30,Existing - Non-Strategic,Manufacturing,17.27,1.04,15526,9,2,6,0,49,8,93.8,15105,Tiered FTO Pricing,0,0,0,29429,101.8,0.176,0
IP,IP - Patent Drafting,1,Patent Drafting,MedTech,Medium,18,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.45,45,Existing - Non-Strategic,Tech,63.39,1.74,17108,8,5,8,6,40,4,32.9,5057,Fixed Fee per Application,0,0,0,11271,128.9,0.803,1
IP,IP - PTAB,1,PTAB,MedTech,,0,0,0,0,0,3,4,0,0,,0,0,0,0,0,0,0,10,540,New,Energy,66.49,0.7,32032,9,10,5,3,20,9,263.9,66233,Caps + Collars,0,1,1,130811,103.2,0.115,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,358,0,0,0,0,0,2,358,Existing - Non-Strategic,Life Sciences,23.13,1.99,17086,8,9,10,0,39,9,83.9,18018,Subscription,1,0,0,42484,136.7,0.191,1
IP,IP - Patent Drafting,1,Patent Drafting,AI,Medium,18,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.45,45,Existing - Non-Strategic,Energy,13.84,-0.97,16103,9,9,6,3,49,6,58.5,11268,Subscription (X applications/year),1,0,0,19249,67.5,0.329,0
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.38,0,,0,0,1,1,1,1,1,10,730,Existing - Non-Strategic,Tech,10.43,1.57,36472,7,1,11,9,45,9,204.1,41977,Contingency + Base,0,0,1,75656,79.9,0.197,0
IP,IP - Patent Drafting,1,Patent Drafting,MedTech,Simple,5,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.125,30,New,Energy,12.77,1.62,13246,9,10,8,4,15,8,42.8,11506,Subscription (X applications/year),1,0,0,21695,85.2,0.27,0
IP,IP - Patent Drafting,1,Patent Drafting,MedTech,Medium,10,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,5.25,45,New,Manufacturing,15.85,1.54,16153,4,3,3,8,15,2,55.5,13290,Tiered (Simple/Medium/Complex),0,0,0,25800,99.9,0.16,0
IP,IP - Litigation,1,Litigation,Pharma,,0,0,0,0,0,0,0,0.08,0,,0,0,0,0,1,1,0,10,730,Existing - Non-Strategic,Tech,183.89,-1.25,37318,5,10,6,4,1,9,550.7,102545,Phase-Based Caps,0,1,0,169734,66.3,0.018,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,3,445,0,0,0,0,0,3,445,Existing - Non-Strategic,Tech,45.6,0.03,22907,10,6,2,3,8,6,61.1,12731,Fixed Fee,0,0,0,21518,63.7,0.567,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,415,0,0,0,0,0,8,415,New,Life Sciences,124.45,0.87,28900,3,8,11,0,29,4,109.4,25248,Fixed Fee,0,0,0,51017,105.3,0.115,0
IP,IP - Prosecution,1,Prosecution,Pharma,,0,0,2,5,1,0,0,0,0,,0,0,0,0,0,0,0,9.5,365,New,Energy,12.44,-1.43,29796,4,3,5,1,17,8,61.7,10485,OA + Attorney Consult (Fixed),0,0,0,19097,79.6,0.734,1
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.23,0,,0,0,1,0,1,1,0,10,730,Existing - Strategic,Other,48.88,1.97,39918,9,6,6,2,22,1,506.6,105080,Collar (Risk-Sharing),0,0,1,188948,78.6,0.019,0
IP,IP - Litigation,1,Litigation,AI,,0,0,0,0,0,0,0,0.31,0,,0,0,1,0,1,0,1,10,730,Existing - Strategic,Manufacturing,39.3,0.24,42197,2,10,1,6,47,9,665.7,153470,Phase-Based Caps,0,1,0,300982,92.1,0.092,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,58,0,0,0,0,0,7,58,New,Finance,20.81,1.51,22218,10,7,4,4,11,4,48.4,14238,Success-Based,0,0,1,25394,76.9,0.45,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,396,0,0,0,0,0,2,396,Existing - Strategic,Tech,91.4,0.63,17158,3,4,4,7,1,3,67.1,13643,Phase-Based,0,1,0,24702,79.5,0.202,0
IP,IP - Litigation,1,Litigation,MedTech,,0,0,0,0,0,0,0,0.64,0,,0,0,0,1,1,1,1,10,730,Existing - Non-Strategic,Tech,65.51,-0.28,39981,10,2,2,4,18,5,518.1,150366,Phase-Based Caps,0,1,0,302771,103.7,0.01,0
IP,IP - FTO,1,FTO,MedTech,,0,0,0,0,0,0,0,0,39,Moderate,0,0,0,0,0,0,0,7.39,30,Existing - Strategic,Life Sciences,116.94,-1.92,22618,6,3,1,4,22,2,56.4,9000,Ongoing Subscription,1,0,0,14282,64.3,0.595,0
IP,IP - FTO,1,FTO,Pharma,,0,0,0,0,0,0,0,0,39,Narrow,0,0,0,0,0,0,0,5.39,30,New,Manufacturing,23.24,0.73,19856,9,10,7,4,29,8,64.9,13855,Fixed Fee per FTO,0,0,0,26909,91.7,0.353,1
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.5,0,,0,0,1,0,1,0,0,8,730,Existing - Non-Strategic,Manufacturing,55.5,-0.75,38625,3,6,3,8,19,2,569.3,158476,Collar (Risk-Sharing),0,0,1,246831,61,0.01,0
IP,IP - PTAB,1,PTAB,Pharma,,0,0,0,0,0,0,2,0,0,,0,0,0,0,0,0,0,8.4,540,New,Tech,8,0.91,32232,7,9,7,1,17,8,282.9,77043,Blended Rate,0,0,0,153726,99.8,0.106,0
IP,IP - PTAB,1,PTAB,Semiconductors,,0,0,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,9.4,540,New,Other,170.1,1.11,37271,8,1,6,6,19,9,342.4,69498,Fixed Fee – Petition Only,0,0,0,117358,63.5,0.137,0
IP,IP - Prosecution,1,Prosecution,MedTech,,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,7,365,Existing - Non-Strategic,Manufacturing,59.87,-1.76,26188,6,5,7,7,16,6,54,10896,Fixed Fee per OA,0,0,0,15646,44.2,0.702,1
IP,IP - Prosecution,1,Prosecution,AI,,0,0,1,9,1,0,0,0,0,,0,0,0,0,0,0,0,10,365,New,Manufacturing,16.54,-1.69,29622,9,10,3,2,22,1,44.9,11653,Hourly,0,0,0,21794,89,0.524,1
IP,IP - Litigation,1,Litigation,Pharma,,0,0,0,0,0,0,0,0.4,0,,0,0,1,1,0,1,1,10,730,New,Tech,10.2,-1.42,39362,1,6,6,2,35,6,506.5,149042,Success Bonus Structure,0,0,1,278141,84.8,0.01,0
IP,IP - FTO,1,FTO,Other,,0,0,0,0,0,0,0,0,41,Moderate,0,0,0,0,0,0,0,7.41,30,New,Finance,22.08,-0.5,22080,10,10,9,5,5,2,73.2,17270,Tiered FTO Pricing,0,0,0,34786,98.1,0.066,0
IP,IP - Patent Drafting,1,Patent Drafting,Semiconductors,Medium,9,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,6.225,45,Existing - Strategic,Tech,52.9,-0.15,17308,7,3,2,0,49,2,65.7,14110,Subscription (X applications/year),1,0,0,25918,85.6,0.116,0
IP,IP - Prosecution,1,Prosecution,Other,,0,0,4,9,1,0,0,0,0,,0,0,0,0,0,0,0,10,365,New,Energy,29.05,-0.89,33954,4,3,8,1,10,3,108.4,30583,Portfolio Subscription,1,0,0,52651,67.8,0.076,0
IP,IP - PTAB,1,PTAB,MedTech,,0,0,0,0,0,0,5,0,0,,0,0,0,0,0,0,0,9,540,New,Life Sciences,7.55,1.39,32903,3,5,7,1,23,3,452.5,134948,Phase-Based,0,1,0,252408,82.3,0.03,0
IP,IP - Patent Drafting,1,Patent Drafting,Semiconductors,Simple,26,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.65,30,New,Energy,88.97,0.68,14928,3,9,10,8,0,9,65.8,14162,Tiered (Simple/Medium/Complex),0,0,0,24872,69.3,0.233,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,5,496,0,0,0,0,0,5,496,Existing - Strategic,Energy,139.38,-1.59,24107,1,4,2,10,26,6,93.8,16616,Subscription,1,0,0,30677,86.1,0.247,0
IP,IP - Litigation,1,Litigation,Biotech,,0,0,0,0,0,0,0,0.44,0,,0,0,0,0,1,0,1,8,730,Existing - Strategic,Life Sciences,68.24,0.67,37323,10,1,9,1,49,5,448.9,116805,Contingency + Base,0,0,1,246575,113.4,0.034,0
IP,IP - Prosecution,1,Prosecution,Other,,0,0,0,6,0,0,0,0,0,,0,0,0,0,0,0,0,7,365,Existing - Non-Strategic,Tech,35.09,0.42,27046,4,8,5,1,30,1,76.3,19598,OA + Attorney Consult (Fixed),0,0,0,37572,90.4,0.178,0
IP,IP - FTO,1,FTO,AI,,0,0,0,0,0,0,0,0,47,Moderate,0,0,0,0,0,0,0,7.47,30,Existing - Strategic,Life Sciences,47.64,1.79,19269,10,5,6,1,16,8,92.9,25618,Risk-Based (Emerging),0,0,1,58975,133.7,0.152,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,589,0,0,0,0,0,8,589,Existing - Strategic,Life Sciences,27.32,0.1,35719,4,2,1,0,16,5,145.8,33332,Hourly,0,0,0,51432,46.7,0.216,0
IP,IP - Prosecution,1,Prosecution,Other,,0,0,2,6,0,0,0,0,0,,0,0,0,0,0,0,0,9,365,Existing - Non-Strategic,Manufacturing,31.49,-0.76,30902,7,10,5,7,33,3,45.1,12231,Volume-based Discount Model,0,0,0,20446,60.6,0.656,1
IP,IP - FTO,1,FTO,AI,,0,0,0,0,0,0,0,0,12,Moderate,0,0,0,0,0,0,0,7.12,30,Existing - Non-Strategic,Other,15.7,0.29,20169,8,4,10,5,39,8,83.3,13662,Fixed Fee per FTO,0,0,0,21328,61.7,0.532,1
IP,IP - Prosecution,1,Prosecution,AI,,0,0,2,6,0,0,0,0,0,,0,0,0,0,0,0,0,9,365,New,Manufacturing,76.49,0.92,32895,1,6,3,3,6,4,67.1,16755,Volume-based Discount Model,0,0,0,32568,100.9,0.533,0
IP,IP - Litigation,1,Litigation,AI,,0,0,0,0,0,0,0,0.44,0,,0,0,1,1,1,1,1,10,730,Existing - Non-Strategic,Tech,12.11,-1.31,40576,3,6,6,1,8,6,492.4,79309,Success Bonus Structure,0,0,1,116907,48.9,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,512,0,0,0,0,0,8,512,Existing - Strategic,Finance,32.35,-1.09,30396,8,9,6,5,47,1,40.5,9950,Subscription,1,0,0,13667,42.2,0.705,1
IP,IP - PTAB,1,PTAB,Pharma,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,8,540,Existing - Non-Strategic,Finance,65.23,1.48,32622,1,5,8,5,19,5,422.8,101930,Blended Rate,0,0,0,191418,90.5,0.074,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,8,418,0,0,0,0,0,8,418,Existing - Non-Strategic,Tech,34.08,0.73,29922,1,9,7,4,26,4,57.1,12293,Hourly,0,0,0,22897,87.2,0.686,1
IP,IP - Litigation,1,Litigation,AI,,0,0,0,0,0,0,0,0.59,0,,0,0,1,1,0,1,1,10,730,Existing - Non-Strategic,Manufacturing,60.81,-1.86,42901,10,8,1,8,19,10,466.5,72393,Contingency + Base,0,0,1,134420,91.1,0.01,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,7,488,0,0,0,0,0,7,488,Existing - Strategic,Manufacturing,20.99,1.79,28109,5,5,4,9,32,8,112.7,25695,Subscription,1,0,0,58034,119.5,0.189,1
IP,IP - Patent Drafting,1,Patent Drafting,Semiconductors,Simple,18,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.45,30,New,Energy,62.86,-0.27,16042,9,5,9,9,12,4,63.4,10276,Subscription (X applications/year),1,0,0,21831,113.7,0.22,0
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,4,422,0,0,0,0,0,4,422,New,Energy,2.57,1.73,21714,1,9,9,6,21,3,62.3,16558,Hourly,0,0,0,27095,71.4,0.369,0
IP,IP - FTO,1,FTO,AI,,0,0,0,0,0,0,0,0,26,Narrow,0,0,0,0,0,0,0,5.26,30,New,Manufacturing,90.53,-1.72,15656,10,8,6,3,15,4,46.9,10907,Risk-Based (Emerging),0,0,1,16015,52.5,0.377,1
IP,IP - FTO,1,FTO,Semiconductors,,0,0,0,0,0,0,0,0,34,Moderate,0,0,0,0,0,0,0,7.34,30,Existing - Non-Strategic,Finance,5.42,1.22,22922,9,1,4,2,44,1,76,12618,Ongoing Subscription,1,0,0,24731,92.2,0.422,1
IP,IP - Prosecution,1,Prosecution,Pharma,,0,0,3,9,0,0,0,0,0,,0,0,0,0,0,0,0,10,365,Existing - Non-Strategic,Energy,4.54,0.19,35802,7,2,2,2,38,10,65.7,10489,Volume-based Discount Model,0,0,0,17065,58.9,0.937,1
IP,IP - PTAB,1,PTAB,Biotech,,0,0,0,0,0,2,4,0,0,,0,0,0,0,0,0,0,10,540,New,Energy,14.07,-0.24,30062,1,1,3,6,16,1,271.4,51594,Phase-Based,0,1,0,84280,59.8,0.01,0
IP,IP - FTO,1,FTO,Biotech,,0,0,0,0,0,0,0,0,15,Moderate,0,0,0,0,0,0,0,7.15,30,New,Manufacturing,88.38,0.95,19616,6,4,2,7,13,3,55.6,9605,Fixed Fee per FTO,0,0,0,20099,109.8,0.489,1
Other,Other / Non-IP,0,Other / Non-IP,,,0,0,0,0,0,0,0,0,0,,2,448,0,0,0,0,0,2,448,New,Other,18.47,-0.4,19399,4,3,11,5,7,5,82.1,24313,Phase-Based,0,1,0,42120,68.7,0.01,0
IP,IP - Patent Drafting,1,Patent Drafting,Pharma,Simple,21,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.525,30,New,Energy,66.31,1.94,15768,8,8,3,3,16,7,48.3,10286,Subscription (X applications/year),1,0,0,22833,117.4,0.344,0
